2024-10-07 17:09:24 status half-installed logsave:arm64 1.47.1-1ubuntu1
2024-10-07 17:09:24 status unpacked logsave:arm64 1.47.1-1ubuntu1
2024-10-07 17:09:24 upgrade mawk:arm64 1.3.4.20240622-2 1.3.4.20240622-2
2024-10-07 17:09:24 status half-configured mawk:arm64 1.3.4.20240622-2
2024-10-07 17:09:24 status unpacked mawk:arm64 1.3.4.20240622-2
2024-10-07 17:09:24 status half-installed mawk:arm64 1.3.4.20240622-2
2024-10-07 17:09:24 status unpacked mawk:arm64 1.3.4.20240622-2
2024-10-07 17:09:24 install mount:arm64 <none> 2.40.2-1ubuntu1
2024-10-07 17:09:24 status half-installed mount:arm64 2.40.2-1ubuntu1
2024-10-07 17:09:24 status unpacked mount:arm64 2.40.2-1ubuntu1
2024-10-07 17:09:24 install ncurses-base:all <none> 6.5-2
2024-10-07 17:09:24 status half-installed ncurses-base:all 6.5-2
2024-10-07 17:09:24 status unpacked ncurses-base:all 6.5-2
2024-10-07 17:09:24 install ncurses-bin:arm64 <none> 6.5-2
2024-10-07 17:09:24 status half-installed ncurses-bin:arm64 6.5-2
2024-10-07 17:09:24 status unpacked ncurses-bin:arm64 6.5-2
2024-10-07 17:09:24 install passwd:arm64 <none> 1:4.15.3-3ubuntu2
2024-10-07 17:09:24 status half-installed passwd:arm64 1:4.15.3-3ubuntu2
2024-10-07 17:09:24 status unpacked passwd:arm64 1:4.15.3-3ubuntu2
2024-10-07 17:09:24 upgrade perl-base:arm64 5.38.2-5 5.38.2-5
2024-10-07 17:09:24 status half-configured perl-base:arm64 5.38.2-5
2024-10-07 17:09:24 status unpacked perl-base:arm64 5.38.2-5
2024-10-07 17:09:24 status half-installed perl-base:arm64 5.38.2-5
2024-10-07 17:09:24 status unpacked perl-base:arm64 5.38.2-5
2024-10-07 17:09:24 install procps:arm64 <none> 2:4.0.4-4ubuntu5
2024-10-07 17:09:24 status half-installed procps:arm64 2:4.0.4-4ubuntu5
2024-10-07 17:09:25 status unpacked procps:arm64 2:4.0.4-4ubuntu5
2024-10-07 17:09:25 install sed:arm64 <none> 4.9-2build1
2024-10-07 17:09:25 status half-installed sed:arm64 4.9-2build1
2024-10-07 17:09:25 status unpacked sed:arm64 4.9-2build1
2024-10-07 17:09:25 install sensible-utils:all <none> 0.0.24
2024-10-07 17:09:25 status half-installed sensible-utils:all 0.0.24
2024-10-07 17:09:25 status unpacked sensible-utils:all 0.0.24
2024-10-07 17:09:25 install sysvinit-utils:arm64 <none> 3.08-6ubuntu3
2024-10-07 17:09:25 status half-installed sysvinit-utils:arm64 3.08-6ubuntu3
2024-10-07 17:09:25 status unpacked sysvinit-utils:arm64 3.08-6ubuntu3
2024-10-07 17:09:25 install tar:arm64 <none> 1.35+dfsg-3build1
2024-10-07 17:09:25 status half-installed tar:arm64 1.35+dfsg-3build1
2024-10-07 17:09:25 status unpacked tar:arm64 1.35+dfsg-3build1
2024-10-07 17:09:25 install util-linux:arm64 <none> 2.40.2-1ubuntu1
2024-10-07 17:09:25 status half-installed util-linux:arm64 2.40.2-1ubuntu1
2024-10-07 17:09:25 status unpacked util-linux:arm64 2.40.2-1ubuntu1
2024-10-07 17:09:25 install zlib1g:arm64 <none> 1:1.3.dfsg+really1.3.1-1ubuntu1
2024-10-07 17:09:25 status half-installed zlib1g:arm64 1:1.3.dfsg+really1.3.1-1ubuntu1
2024-10-07 17:09:25 status unpacked zlib1g:arm64 1:1.3.dfsg+really1.3.1-1ubuntu1
